fichier;page;xref;px;place_pt;bbox;alpha;poids_ko
hermes_wwq2021_modele3d_champignons_01.jpg;5;204;709x541;170x130;(64,127)-(235,257);non;43
hermes_wwq2021_vitrine_photo_01.jpg;5;203;1688x896;405x215;(360,130)-(765,345);non;291
hermes_wwq2021_modele3d_creature_01.jpg;5;201;676x573;162x137;(64,263)-(227,400);non;95
hermes_wwq2021_atelier_photo_01.jpg;5;199;1681x822;403x197;(362,364)-(765,561);non;214
hermes_wwq2021_modele3d_accessoires_01.jpg;5;200;1112x821;201x140;(45,419)-(246,559);non;107
saketsethi_twirlsofa_rendu_01.jpg;6;208;988x894;355x321;(399,138)-(754,459);non;105
hermes_ww_pauze_bar_rendu3d_01.jpg;7;214;1163x881;336x235;(391,150)-(727,385);non;212
hermes_ww_pauze_bar_plan3d_01.jpg;7;213;843x446;276x146;(71,209)-(346,355);non;80
hermes_ww_pauze_bar_atelier_01.jpg;7;222;928x572;223x137;(65,413)-(288,550);non;137
hermes_ww_pauze_bar_atelier_02.jpg;7;220;522x577;125x138;(301,413)-(426,551);non;90
hermes_ww_pauze_bar_atelier_03.jpg;7;218;581x568;139x136;(439,413)-(578,549);non;98
hermes_ww_pauze_bar_atelier_04.jpg;7;216;576x571;138x137;(590,412)-(728,549);non;80
hermes_ww_pauze_vip_eclate3d_01.jpg;8;231;1167x471;605x244;(92,132)-(697,377);non;118
hermes_ww_pauze_vip_atelier_01.jpg;8;227;1003x579;241x139;(92,411)-(333,550);non;128
hermes_ww_pauze_vip_atelier_02.jpg;8;229;569x576;136x138;(357,412)-(493,550);non;76
hermes_ww_pauze_vip_atelier_03.jpg;8;233;742x579;178x139;(519,411)-(697,550);non;94
saketsethi_sofa_rendu_01.jpg;9;238;1248x585;638x299;(79,116)-(717,415);non;101
saketsethi_declinaisons_grasshopper_01.jpg;9;237;962x488;231x117;(70,434)-(300,551);non;78
saketsethi_mesh_structure_01.png;9;240;732x484;176x116;(304,436)-(479,552);oui;439
saketsethi_mobilier_mise_en_scene_01.png;9;242;871x490;209x117;(505,435)-(714,552);oui;571
mass_pauze_expo_pompidou_01.jpg;10;255;699x672;361x347;(393,129)-(754,476);non;91
mass_pauze_tournage_decor_01.png;11;264;1149x763;528x351;(43,161)-(571,512);oui;927
mass_pauze_atelier_cnc_01.jpg;11;260;632x492;151x118;(606,161)-(758,279);non;83
mass_pauze_atelier_cnc_02.jpg;11;262;637x400;153x96;(606,298)-(759,394);non;74
mass_pauze_sculpture_resine_01.jpg;11;265;626x427;150x102;(608,409)-(758,512);non;44
workshop_morphine_rendu_blender_01.png;12;270;1773x1024;677x391;(56,122)-(732,513);oui;1499
hermes_ww_ratte_scenographie_rendu_01.jpg;13;282;1600x765;576x275;(114,119)-(690,394);non;412
hermes_ww_ratte_sculpture_himalaya_plan_01.png;13;284;1445x580;332x133;(57,416)-(389,549);oui;606
hermes_ww_ratte_sculpture_impression3d_01.jpg;13;286;1102x577;264x138;(425,413)-(689,552);non;128
sanniest_vr_scene_mangrove_01.png;14;299;2528x1144;629x284;(83,145)-(712,429);oui;1268
sanniest_vr_photo_premiere_01.jpg;14;295;568x503;136x121;(87,447)-(223,568);non;45
sanniest_vr_photo_premiere_02.jpg;14;293;199x564;43x122;(200,446)-(242,568);non;33
sanniest_vr_modele3d_poisson_01.png;14;297;785x572;165x120;(263,448)-(428,568);non;147
sanniest_vr_texture_kaleidoscope_01.png;14;296;1307x578;269x119;(443,449)-(713,568);non;561
nassij_broderie_detail_01.jpg;15;304;1380x1396;331x335;(400,125)-(731,460);non;766
bodyarchi2_thalassicmask_face_01.jpg;16;321;669x745;124x138;(187,97)-(311,235);non;89
bodyarchi2_thalassicmask_profil_01.jpg;16;324;696x725;132x138;(316,97)-(447,235);non;68
bodyarchi2_spherepacking_corps_01.png;16;320;322x675;214x448;(487,92)-(701,540);non;100
bodyarchi2_erosion_face_01.png;16;322;669x745;124x138;(187,250)-(311,389);non;247
bodyarchi2_erosion_profil_01.png;16;325;696x725;132x138;(316,250)-(447,388);non;218
bodyarchi2_spherepacking_face_01.png;16;323;674x745;124x137;(187,401)-(311,538);non;293
bodyarchi2_spherepacking_profil_01.png;16;326;697x725;132x138;(316,400)-(447,538);non;232
nassij_caftan_rendu_dos_01.jpg;17;331;1413x1764;339x423;(90,118)-(429,541);non;277
nassij_caftan_detail_bas_01.png;17;337;1376x759;221x122;(474,117)-(695,240);oui;800
nassij_caftan_detail_manche_01.jpg;17;333;909x524;222x128;(474,250)-(695,378);non;106
nassij_motif_grasshopper_01.jpg;17;335;621x433;222x155;(474,388)-(696,542);non;210
